"LCode","Municipality","Year","Years","Event","Count","Total_Count"
"60611","Gurans","","2016","Fire","4","Medium"
"60611","Gurans","","2020","Fire","1","Medium"
"0","No Data","1977","","Fire","1","Very Low"
"0","No Data","1982","","Fire","1","Very Low"
"0","No Data","1991","","Fire","1","Very Low"
"0","No Data","1993","","Fire","1","Very Low"
"0","No Data","1995","","Fire","2","Low"
"0","No Data","1996","","Fire","1","Very Low"
"0","No Data","1997","","Fire","1","Very Low"
"0","No Data","2011","","Fire","7","Low"
"0","No Data","2012","","Fire","12","Low"
"0","No Data","2013","","Fire","15","Low"
"0","No Data","2014","","Fire","13","Low"
"0","No Data","2015","","Fire","9","Low"
"20501","Lalbandi","1972","","Fire","1","Very Low"
"20501","Lalbandi","1973","","Fire","1","Very Low"
"20501","Lalbandi","1983","","Fire","1","Very Low"
"20501","Lalbandi","1985","","Fire","1","Very Low"
"20501","Lalbandi","1989","","Fire","1","Very Low"
"20501","Lalbandi","1999","","Fire","1","Very Low"
"20501","Lalbandi","2000","","Fire","1","Very Low"
"20501","Lalbandi","2013","","Fire","4","Low"
"20501","Lalbandi","2014","","Fire","1","Very Low"
"20501","Lalbandi","2016","","Fire","2","Low"
"20501","Lalbandi","2017","","Fire","3","Low"
"20501","Lalbandi","2018","","Fire","5","Low"
"20501","Lalbandi","2019","","Fire","7","Low"
"20501","Lalbandi","2020","","Fire","9","Low"
"20501","Lalbandi","2021","","Fire","7","Low"
"20501","Lalbandi","2022","","Fire","3","Low"
"20502","Hariban","1983","","Fire","3","Low"
"20502","Hariban","2004","","Fire","2","Low"
"20502","Hariban","2008","","Fire","1","Very Low"
"20502","Hariban","2009","","Fire","1","Very Low"
"20502","Hariban","2011","","Fire","1","Very Low"
"20502","Hariban","2013","","Fire","1","Very Low"
"20502","Hariban","2014","","Fire","2","Low"
"20502","Hariban","2016","","Fire","3","Low"
"20502","Hariban","2017","","Fire","3","Low"
"20502","Hariban","2018","","Fire","2","Low"
"20502","Hariban","2019","","Fire","16","Low"
"20502","Hariban","2020","","Fire","4","Low"
"20502","Hariban","2021","","Fire","6","Low"
"20502","Hariban","2022","","Fire","8","Low"
"20502","Hariban","2023","","Fire","2","Low"
"20503","Bagmati","1984","","Fire","1","Very Low"
"20503","Bagmati","1986","","Fire","1","Very Low"
"20503","Bagmati","1999","","Fire","1","Very Low"
"20503","Bagmati","2004","","Fire","1","Very Low"
"20503","Bagmati","2009","","Fire","1","Very Low"
"20503","Bagmati","2011","","Fire","2","Low"
"20503","Bagmati","2012","","Fire","3","Low"
"20503","Bagmati","2013","","Fire","1","Very Low"
"20503","Bagmati","2015","","Fire","1","Very Low"
"20503","Bagmati","2016","","Fire","5","Low"
"20503","Bagmati","2017","","Fire","1","Very Low"
"20503","Bagmati","2018","","Fire","3","Low"
"20503","Bagmati","2019","","Fire","5","Low"
"20503","Bagmati","2020","","Fire","4","Low"
"20503","Bagmati","2021","","Fire","6","Low"
"20503","Bagmati","2022","","Fire","5","Low"
"20504","Barahathawa","1974","","Fire","1","Very Low"
"20504","Barahathawa","1976","","Fire","1","Very Low"
"20504","Barahathawa","1978","","Fire","1","Very Low"
"20504","Barahathawa","1979","","Fire","1","Very Low"
"20504","Barahathawa","1999","","Fire","1","Very Low"
"20504","Barahathawa","2009","","Fire","1","Very Low"
"20504","Barahathawa","2011","","Fire","1","Very Low"
"20504","Barahathawa","2012","","Fire","1","Very Low"
"20504","Barahathawa","2013","","Fire","2","Low"
"20504","Barahathawa","2014","","Fire","3","Low"
"20504","Barahathawa","2015","","Fire","2","Low"
"20504","Barahathawa","2016","","Fire","9","Low"
"20504","Barahathawa","2017","","Fire","3","Low"
"20504","Barahathawa","2018","","Fire","6","Low"
"20504","Barahathawa","2019","","Fire","10","Low"
"20504","Barahathawa","2020","","Fire","11","Low"
"20504","Barahathawa","2021","","Fire","6","Low"
"20504","Barahathawa","2022","","Fire","5","Low"
"20505","Haripur","1972","","Fire","1","High"
"20505","Haripur","1992","","Fire","1","High"
"20505","Haripur","2011","","Fire","1","High"
"20505","Haripur","2016","","Fire","2","High"
"20505","Haripur","2017","","Fire","4","High"
"20505","Haripur","2018","","Fire","2","High"
"20505","Haripur","2019","","Fire","7","High"
"20505","Haripur","2020","","Fire","2","High"
"20505","Haripur","2021","","Fire","3","High"
"20505","Haripur","2022","","Fire","9","High"
"20506","Ishworpur","2004","","Fire","1","Medium"
"20506","Ishworpur","2012","","Fire","1","Medium"
"20506","Ishworpur","2013","","Fire","1","Medium"
"20506","Ishworpur","2015","","Fire","2","Medium"
"20506","Ishworpur","2016","","Fire","1","Medium"
"20506","Ishworpur","2017","","Fire","2","Medium"
"20506","Ishworpur","2018","","Fire","3","Medium"
"20506","Ishworpur","2019","","Fire","6","Medium"
"20506","Ishworpur","2020","","Fire","4","Medium"
"20506","Ishworpur","2021","","Fire","3","Medium"
"20506","Ishworpur","2022","","Fire","2","Medium"
"20507","Haripurwa","2013","","Fire","1","Very Low"
"20508","Parsa","2011","","Fire","1","Very Low"
"20508","Parsa","2012","","Fire","1","Very Low"
"20508","Parsa","2017","","Fire","1","Very Low"
"20508","Parsa","2019","","Fire","5","Low"
"20508","Parsa","2020","","Fire","3","Low"
"20508","Parsa","2021","","Fire","4","Low"
"20508","Parsa","2022","","Fire","4","Low"
"20509","Brahmapuri","2012","","Fire","1","Medium"
"20509","Brahmapuri","2015","","Fire","1","Medium"
"20509","Brahmapuri","2016","","Fire","1","Medium"
"20509","Brahmapuri","2017","","Fire","1","Medium"
"20509","Brahmapuri","2018","","Fire","5","Medium"
"20509","Brahmapuri","2019","","Fire","1","Medium"
"20509","Brahmapuri","2020","","Fire","1","Medium"
"20509","Brahmapuri","2021","","Fire","1","Medium"
"20509","Brahmapuri","2022","","Fire","1","Medium"
"20510","Chandranagar","2015","","Fire","2","Low"
"20510","Chandranagar","2017","","Fire","2","Low"
"20510","Chandranagar","2018","","Fire","1","Very Low"
"20510","Chandranagar","2019","","Fire","1","Very Low"
"20510","Chandranagar","2020","","Fire","3","Low"
"20510","Chandranagar","2021","","Fire","1","Very Low"
"20510","Chandranagar","2022","","Fire","7","Low"
"20510","Chandranagar","2023","","Fire","1","Very Low"
"20511","Kabilashi","1973","","Fire","1","Very Low"
"20511","Kabilashi","2009","","Fire","1","Very Low"
"20511","Kabilashi","2011","","Fire","2","Low"
"20511","Kabilashi","2012","","Fire","1","Very Low"
"20511","Kabilashi","2013","","Fire","2","Low"
"20511","Kabilashi","2014","","Fire","1","Very Low"
"20511","Kabilashi","2015","","Fire","1","Very Low"
"20511","Kabilashi","2016","","Fire","2","Low"
"20511","Kabilashi","2017","","Fire","6","Low"
"20511","Kabilashi","2018","","Fire","6","Low"
"20511","Kabilashi","2019","","Fire","3","Low"
"20511","Kabilashi","2020","","Fire","3","Low"
"20511","Kabilashi","2021","","Fire","6","Low"
"20511","Kabilashi","2022","","Fire","2","Low"
"20512","Chakraghatta","2007","","Fire","1","Very Low"
"20512","Chakraghatta","2011","","Fire","1","Very Low"
"20512","Chakraghatta","2012","","Fire","2","Low"
"20512","Chakraghatta","2014","","Fire","1","Very Low"
"20512","Chakraghatta","2015","","Fire","1","Very Low"
"20512","Chakraghatta","2017","","Fire","3","Low"
"20512","Chakraghatta","2018","","Fire","1","Very Low"
"20512","Chakraghatta","2019","","Fire","3","Low"
"20512","Chakraghatta","2020","","Fire","1","Very Low"
"20512","Chakraghatta","2021","","Fire","5","Low"
"20512","Chakraghatta","2022","","Fire","3","Low"
"20513","Basbariya","2009","","Fire","1","Very Low"
"20513","Basbariya","2011","","Fire","1","Very Low"
"20513","Basbariya","2012","","Fire","1","Very Low"
"20513","Basbariya","2013","","Fire","1","Very Low"
"20513","Basbariya","2014","","Fire","1","Very Low"
"20513","Basbariya","2016","","Fire","1","Very Low"
"20513","Basbariya","2018","","Fire","4","Low"
"20513","Basbariya","2019","","Fire","5","Low"
"20513","Basbariya","2020","","Fire","3","Low"
"20513","Basbariya","2021","","Fire","4","Low"
"20513","Basbariya","2022","","Fire","6","Low"
"20514","Dhankaul","1982","","Fire","1","Very Low"
"20514","Dhankaul","1998","","Fire","1","Very Low"
"20514","Dhankaul","1999","","Fire","1","Very Low"
"20514","Dhankaul","2000","","Fire","1","Very Low"
"20514","Dhankaul","2012","","Fire","1","Very Low"
"20514","Dhankaul","2013","","Fire","1","Very Low"
"20514","Dhankaul","2018","","Fire","3","Low"
"20514","Dhankaul","2019","","Fire","6","Low"
"20514","Dhankaul","2020","","Fire","3","Low"
"20514","Dhankaul","2021","","Fire","1","Very Low"
"20514","Dhankaul","2022","","Fire","5","Low"
"20515","Ramnagar","2014","","Fire","1","Very Low"
"20515","Ramnagar","2015","","Fire","2","Low"
"20515","Ramnagar","2017","","Fire","4","Low"
"20515","Ramnagar","2018","","Fire","2","Low"
"20515","Ramnagar","2019","","Fire","6","Low"
"20515","Ramnagar","2021","","Fire","4","Low"
"20515","Ramnagar","2022","","Fire","5","Low"
"20516","Balara","1983","","Fire","1","Very Low"
"20516","Balara","2007","","Fire","1","Very Low"
"20516","Balara","2012","","Fire","1","Very Low"
"20516","Balara","2013","","Fire","1","Very Low"
"20516","Balara","2015","","Fire","3","Low"
"20516","Balara","2016","","Fire","5","Low"
"20516","Balara","2017","","Fire","3","Low"
"20516","Balara","2018","","Fire","1","Very Low"
"20516","Balara","2019","","Fire","8","Low"
"20516","Balara","2020","","Fire","1","Very Low"
"20516","Balara","2021","","Fire","5","Low"
"20516","Balara","2022","","Fire","5","Low"
"20517","Godaita","1981","","Fire","1","Very Low"
"20517","Godaita","1982","","Fire","1","Very Low"
"20517","Godaita","2009","","Fire","1","Very Low"
"20517","Godaita","2012","","Fire","1","Very Low"
"20517","Godaita","2014","","Fire","1","Very Low"
"20517","Godaita","2015","","Fire","1","Very Low"
"20517","Godaita","2016","","Fire","3","Low"
"20517","Godaita","2017","","Fire","2","Low"
"20517","Godaita","2018","","Fire","5","Low"
"20517","Godaita","2019","","Fire","1","Very Low"
"20517","Godaita","2020","","Fire","1","Very Low"
"20517","Godaita","2021","","Fire","2","Low"
"20517","Godaita","2022","","Fire","4","Low"
"20517","Godaita","2023","","Fire","1","Very Low"
"20518","Bishnu","2009","","Fire","1","Very Low"
"20518","Bishnu","2012","","Fire","1","Very Low"
"20518","Bishnu","2013","","Fire","1","Very Low"
"20518","Bishnu","2016","","Fire","3","Low"
"20518","Bishnu","2017","","Fire","2","Low"
"20518","Bishnu","2018","","Fire","3","Low"
"20518","Bishnu","2019","","Fire","5","Low"
"20518","Bishnu","2020","","Fire","4","Low"
"20518","Bishnu","2021","","Fire","5","Low"
"20518","Bishnu","2022","","Fire","3","Low"
"20518","Bishnu","2023","","Fire","1","Very Low"
"20519","Kaudena","2015","","Fire","1","Medium"
"20519","Kaudena","2018","","Fire","5","Medium"
"20519","Kaudena","2019","","Fire","1","Medium"
"20519","Kaudena","2020","","Fire","1","Medium"
"20519","Kaudena","2021","","Fire","3","Medium"
"20519","Kaudena","2022","","Fire","3","Medium"
"20519","Kaudena","2023","","Fire","1","Medium"
"20520","Malangawa","2004","","Fire","1","High"
"20520","Malangawa","2009","","Fire","2","High"
"20520","Malangawa","2011","","Fire","3","High"
"20520","Malangawa","2015","","Fire","2","High"
"20520","Malangawa","2016","","Fire","9","High"
"20520","Malangawa","2018","","Fire","3","High"
"20520","Malangawa","2019","","Fire","9","High"
"20520","Malangawa","2020","","Fire","10","High"
"20520","Malangawa","2021","","Fire","13","High"
"20520","Malangawa","2022","","Fire","9","High"
